x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\0.png,7,4.958562e-07,1.653024e-06,5.624069e-06,9.553711e-07,1.3109513e-07,1.2724644e-07,1.5110095e-07,1.0,3.5089702e-06,9.350776e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\1.png,2,2.286338e-06,2.478572e-06,1.0,2.1979029e-06,1.0947341e-07,5.145194e-08,7.4768475e-05,4.725821e-06,8.7040735e-07,5.4133244e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\2.png,1,5.534774e-07,1.0,4.4604883e-07,3.8784886e-08,1.5426451e-07,6.0246466e-06,4.592377e-06,2.2810957e-05,4.128709e-07,1.3355551e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\3.png,0,0.99999964,5.205842e-06,4.9944983e-06,2.5069205e-06,2.2785648e-06,5.1642684e-07,2.0511074e-05,3.107275e-07,4.2488928e-06,7.19994e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\4.png,4,1.08203e-06,6.426459e-08,4.8452318e-08,6.147793e-08,0.99999964,1.4936126e-06,3.6723776e-07,1.5695795e-06,5.0211092e-06,4.6960085e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\5.png,1,5.439928e-06,1.0,2.3573413e-07,7.668613e-08,6.6065724e-07,7.690761e-06,2.2755182e-06,1.9971465e-05,8.9833156e-07,7.5545535e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\6.png,4,3.7126736e-07,2.187186e-07,2.6171186e-08,1.7364931e-07,0.9999995,4.9104915e-06,1.1401984e-06,7.573561e-07,1.8270872e-06,1.678589e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\7.png,9,9.0321355e-06,1.6046906e-07,3.6193755e-06,0.00045627196,7.787473e-07,1.46327375e-05,1.855913e-07,1.4759453e-06,2.9282685e-07,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\8.png,5,2.6424841e-08,0.00011660648,4.3800785e-10,8.447374e-05,1.0201908e-05,0.9999994,0.0006483294,7.815986e-08,7.761216e-05,1.3392309e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\9.png,9,3.946508e-07,3.3941221e-06,1.2499121e-05,2.0012323e-05,7.824845e-06,1.3233558e-06,1.1643959e-08,2.3553016e-06,1.4649679e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\10.png,0,0.99999976,1.9875362e-05,1.0487545e-06,3.068532e-06,1.2496442e-06,2.4449487e-06,8.246737e-06,9.01771e-07,6.232255e-07,4.7010712e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\11.png,6,3.630362e-06,1.5495235e-06,3.2455366e-05,6.200536e-06,1.0529061e-05,1.6341523e-06,1.0,2.2456014e-07,3.3740665e-07,6.538602e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\12.png,9,2.443461e-07,2.9007015e-06,1.17517275e-05,1.8615176e-05,4.6497244e-06,1.5521057e-06,1.3128312e-08,2.0861648e-06,1.3108742e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\13.png,0,0.99999976,1.7314034e-05,1.1771889e-06,2.200233e-06,1.60099e-06,1.9334304e-06,1.2737208e-05,5.5410163e-07,8.6138726e-07,7.2719763e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\14.png,1,1.1338215e-06,1.0,2.6308226e-07,6.801586e-08,1.2008793e-07,1.0169629e-05,2.2956083e-06,1.40015345e-05,7.8615557e-07,7.3789334e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\15.png,5,9.274794e-08,4.8388315e-06,1.1875109e-08,2.1878625e-06,3.4518155e-06,1.0,1.6833203e-06,7.2259644e-07,2.7388649e-06,4.7562726e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\16.png,9,7.2017e-08,4.2888178e-06,3.6324088e-06,6.5922686e-06,5.994513e-06,1.2362639e-06,2.8873819e-08,3.4596558e-06,1.9724118e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\17.png,7,5.762927e-07,1.6749613e-06,5.590871e-06,1.0045668e-06,1.5014886e-07,1.2178191e-07,1.269359e-07,1.0,3.0712986e-06,9.5780915e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\18.png,3,9.112442e-06,3.9659417e-06,5.009426e-07,0.9999999,4.3072785e-05,0.014196044,6.0732254e-05,6.2966424e-06,0.3488693,2.4934295e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\19.png,4,8.4094637e-07,7.456387e-08,3.785321e-08,8.23639e-08,0.9999995,1.7624328e-06,5.1202835e-07,1.6251261e-06,4.7796852e-06,3.461494e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\20.png,9,5.4836705e-06,2.0696604e-07,4.1388867e-06,0.00037493033,9.56579e-07,6.8186805e-06,1.18757825e-07,2.2551267e-06,5.4732345e-07,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\21.png,6,7.079852e-07,2.4372896e-06,2.5821884e-05,6.0112116e-06,1.4583728e-05,2.1089905e-05,0.9999999,7.1736304e-07,3.7201517e-07,1.2350186e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\22.png,6,5.750459e-07,1.2207837e-06,2.9299046e-05,5.8039127e-06,2.120326e-05,8.0396404e-07,0.9999999,4.2270176e-07,6.8965704e-08,9.857664e-09
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\23.png,5,2.1882207e-07,1.0637113e-05,6.549871e-09,1.2801524e-06,2.3432258e-06,1.0,1.4067248e-06,4.6822743e-07,7.0573956e-06,3.575848e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\24.png,4,8.081489e-07,8.4876525e-08,4.2061668e-08,7.865247e-08,0.99999964,1.9935544e-06,4.6570105e-07,1.3244442e-06,3.9206643e-06,3.4994744e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\25.png,0,0.9999995,7.351516e-06,3.76264e-06,1.2071284e-06,3.0956526e-06,6.1373765e-07,2.8817103e-05,1.6187253e-07,2.985795e-06,1.5427555e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\26.png,7,4.9367446e-07,1.6751818e-06,5.408167e-06,9.474753e-07,1.3413307e-07,1.2511511e-07,1.3617002e-07,1.0,3.2033722e-06,9.32432e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\27.png,4,7.1931476e-07,9.861072e-08,3.8925993e-08,8.900872e-08,0.99999964,2.3099399e-06,5.4491e-07,1.211697e-06,3.4708023e-06,3.1208787e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\28.png,0,0.99999964,1.14767545e-05,1.3645266e-06,2.4793262e-06,1.6399304e-06,1.308994e-06,2.0074522e-05,5.312977e-07,1.616874e-06,7.6102497e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\29.png,1,1.5996591e-06,1.0,2.340929e-07,6.83407e-08,1.7860896e-07,1.4668773e-05,2.7083943e-06,1.3798116e-05,8.6909677e-07,6.113782e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\30.png,3,4.1485225e-07,8.375305e-07,2.1476706e-06,1.0,8.452108e-07,3.846769e-06,6.2704527e-07,5.853864e-07,9.931521e-07,1.2662167e-05
